0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,sasaSer,sasaLig
1,-11605.7565812,-37.4449148462,26.4749461538,27.2442179487,2.81607239316,1.58975358974,3.09637076923,0.00234188034188,0.523286700855
2,-11655.5577481,-46.9479868104,14.5685165926,14.421577037,2.80709496296,1.60579808889,3.12689333333,0.00314814814815,0.472046666667
3,-11653.2896278,-54.1800471502,28.2830669883,25.7581748449,2.81046171606,1.59715498966,3.11532631289,0.00105306685045,0.441455625775
4,-11614.5504296,-46.6241429538,26.3576867884,25.8857714286,2.8221245435,1.59005234157,3.10833372718,0.001858216971,0.417342195489
5,-11637.9703201,-46.6709407274,29.717322096,27.2191200826,2.79023537945,1.5833827207,3.09082361384,0.000153329891585,0.468010198245
6,-11617.7707921,-42.0269994505,8.44019425743,8.26879490099,2.81733069307,1.60354876238,3.11451122772,0.00103663366337,0.436723290099
7,-11645.0932813,-41.7819289851,25.0010890375,27.7797215533,2.81600477146,1.5963041806,3.09709052768,0.00275510962467,0.494602534374
8,-11615.6716717,-36.8086538359,16.7132322188,14.2902537994,2.7831724924,1.59306930091,3.08651139818,0.000483282674772,0.527921817629
9,-11595.662549,-57.7916684376,31.7586105882,30.4160996078,2.81476152941,1.59356858824,3.08089,0.00244705882353,0.493895180392
10,-11621.8121407,-40.4678710545,27.094968781,25.5766269574,2.81584139742,1.58905276511,3.12247291378,0.000655104063429,0.508042570862
11,-11606.3633624,-32.9493166563,21.1978838428,23.0705550218,2.8047239738,1.58605362445,3.08190275109,0.00108296943231,0.591331633188
12,-11596.3387674,-44.4891355666,11.0168649437,10.8699748178,2.77024438038,1.58084162359,3.07006611001,0.000137839628893,0.450935117296
13,-11547.764058,-22.9555964058,28.0442246377,27.3296652174,2.80878362319,1.5743942029,3.01184405797,0.00246376811594,0.602614101449
14,-11651.1161728,-41.9192471759,19.3900916667,18.638725463,2.8232999537,1.58597816358,3.09357462963,0.00338117283951,0.47492833179
15,-11466.3741379,-28.1978637931,33.090062069,32.955062069,2.81341758621,1.58210517241,2.99790413793,0.00513793103448,0.659159827586
16,-11643.0766343,-41.5492836397,27.7701800648,30.8462967045,2.81557916261,1.59724503512,3.11081605619,0.000350081037277,0.426116561858
17,-11608.2844747,-43.5151284047,18.2076498054,21.1009731518,2.7910140856,1.58784603113,3.10730116732,0.000653696498054,0.524102182879
18,-11591.0287805,-33.3848040041,10.9927124146,10.3236395122,2.78401107317,1.60025214634,3.14013458537,0.000658536585366,0.51513275122
19,-11632.0492339,-35.4406501232,32.2182381048,34.2308,2.81387770161,1.58488725806,3.10798697581,0.00054435483871,0.557459534274
20,-11643.5193199,-50.8172702784,17.3712615303,17.5609166844,2.81322912859,1.5839948034,3.10483962806,0.0121424017003,0.494570543039
21,-11570.4943478,-30.3157935043,34.6655652174,34.0330469565,2.82348052174,1.58470626087,3.075774,0.00173043478261,0.607559278261
22,-11647.7232778,-49.8680783156,29.4576282222,29.2197103333,2.78227685556,1.57281755556,3.11477367778,0.000202222222222,0.337070244444
23,-11532.874,-8.03082193538,23.3902553846,23.3610938462,2.81294153846,1.58447830769,3.070928,0.0022,0.814593861538
24,-11634.9427935,-39.8285283708,15.6440933696,14.0146711957,2.8096098913,1.60842622826,3.13485520652,0.000946739130435,0.470415940217
25,-11633.5622622,-35.6909912416,25.8028061697,28.7809128535,2.81716526992,1.5911662982,3.08783578406,0.00231619537275,0.476807688946
26,-11616.0048826,-37.7239690197,11.6667970657,12.8322543427,2.79981741784,1.60342769953,3.1505006338,0.000399061032864,0.476548258216
27,-11627.265128,-54.345784364,32.5130887204,32.3656116588,2.81206527962,1.59321527014,3.07486880569,0.00345497630332,0.473147552607
28,-11666.8160897,-46.0107050215,25.5898380769,27.4304774359,2.80933220513,1.58740862821,3.08705732051,0.000408974358974,0.447688830769
29,-11607.9823161,-32.3466511253,20.9689032698,22.1712773842,2.7932952861,1.58027613079,3.08361762943,0.000643051771117,0.538930171662
30,-11620.3894845,-34.2489324082,16.1621875258,18.8857203093,2.80183923711,1.54151310309,2.60930151031,0.000192783505155,0.514199139175
31,-11627.7471493,-25.9994072579,29.6781393665,29.8472597285,2.81276076923,1.58811773756,3.09481900452,0.0011628959276,0.536739556561
32,-11645.7872138,-53.2052562938,20.156043465,19.699068693,2.81909072948,1.59348397163,3.11470390071,0.00345288753799,0.456645816616
33,-11639.9670317,-45.8941337032,28.8636203172,25.729023565,2.81696402568,1.59336784743,3.10567115559,0.000295317220544,0.483505940332
34,-11625.6938407,-38.5224227916,27.8298805621,25.6602890867,2.82236162061,1.59020653396,3.11402178454,0.000325995316159,0.484860203279
35,-11617.230969,-47.4178923176,17.6364364738,19.9683056528,2.80192942127,1.58104092867,3.08969130552,0.000390309555855,0.4736607214
36,-11632.4193322,-47.7947862139,12.4390511424,10.9961231986,2.76539261863,1.55753467487,3.00475374341,0.000339191564148,0.480795820738
37,-11652.3591552,-43.3247238125,27.7302471552,28.7508958621,2.81324442241,1.59386557759,3.11738589655,0.000341379310345,0.479603882759
38,-11578.9309605,-19.8270183169,21.4534033898,21.3823135593,2.82789926554,1.59675457627,3.12036186441,0.00760451977401,0.623348418079
39,-11622.0776006,-58.0143357462,29.1825431345,32.540298613,2.81056391123,1.58267184466,3.08541371706,0.00160471567268,0.464151493759
40,-11642.7956652,-36.8747305494,26.2235101288,27.4920423176,2.81582620601,1.60053672961,3.10206722747,0.00117167381974,0.496649738197
41,-11632.0179855,-34.0830928593,25.7817124638,27.7997063768,2.80625523188,1.58040608696,3.09602486957,0.00023768115942,0.500825976812
42,-11586.597973,-22.2831620311,11.6489598649,11.7106026351,2.76740168919,1.57825891892,3.06483905405,0.00138513513514,0.525945054054
43,-11668.9020198,-42.0634358218,31.3053605941,31.2468031683,2.81899649505,1.58241291089,3.08764362376,0.000625742574257,0.479047108911
44,-11652.0170154,-51.2619802336,21.293353528,21.2414024331,2.82253431468,1.58548993512,3.10689942417,0.00540064882401,0.475312915653
45,-11561.3338235,-24.6135288529,32.447477451,32.8016539216,2.81619735294,1.57682627451,3.03960696078,0.00173529411765,0.609095852941
46,-11592.3614602,-41.0796371965,25.6960713274,26.7037661062,2.79556560177,1.60238,3.11999254867,0.000300884955752,0.390376144248
47,-11563.1791,-26.231011,24.306598,24.573245,2.8167386,1.5832722,3.0576999,0.00355,0.62325377
48,-11608.9790026,-22.871935427,11.8159095276,11.7066991076,2.78261879265,1.86039451444,2.82882784777,0.000548556430446,0.520123375328
49,-11635.0798986,-41.6759384918,34.1879332206,32.9225708369,2.81613928149,1.58753380389,3.09464231615,0.000511411665258,0.469322210482
50,-11648.655012,-38.7667292074,18.1034293765,16.8642744604,2.82553618705,1.58539643885,3.10331184652,0.00992685851319,0.518228294964
51,-11618.798285,-41.3601841953,26.8352667546,28.7117575198,2.82270453826,1.59250659631,3.09891873351,0.0017308707124,0.438559195251
52,-11661.6135042,-49.4979917978,29.5807962604,29.8292131579,2.81063247922,1.59306904432,3.07072941828,0.000326869806094,0.459234264543
53,-11607.4495752,-37.0907591593,22.2530557522,21.78472,2.7912999292,1.58740562832,3.09493676106,0.000191150442478,0.458478065487
54,-11554.6518519,-10.007603373,16.0761126543,15.9421924074,2.79812197531,1.57636024691,3.04504092593,0.0011049382716,0.727839858025
55,-11608.0602532,-24.9305203778,29.2537094937,29.3329550633,2.81096487342,1.59279740506,3.08789911392,0.00289873417722,0.51246443038
56,-11592.1436986,-20.8302193973,17.0685047945,17.048160274,2.79473650685,1.59431383562,3.09065054795,0.00163698630137,0.566534643836
57,-11652.811773,-59.0716702533,25.4762462477,28.3140012195,2.81830739212,1.59055813321,3.11799371482,0.000236397748593,0.46334578424
58,-11632.1079588,-49.9131229775,27.6232301498,27.5716129213,2.81977810861,1.59907705993,3.10959707865,0.00129775280899,0.408766131086
59,-11610.0600364,-34.70354404,25.0716487273,25.1820709091,2.80971294545,1.58486214545,3.08794301818,0.00118181818182,0.575595487273
60,-11595.0326389,-33.1036792836,13.0641995486,10.6607202431,2.82535729167,1.59741850694,3.23943732639,0.000552083333333,0.456596451389
61,-11628.6349321,-41.3259499321,29.7337800905,29.8898841629,2.82542778281,1.59257832579,3.09835705882,0.00240271493213,0.454601140271
62,-11633.6642044,-52.4819815238,16.7602034843,18.7432882695,2.81371896632,1.60322752613,3.12458255517,0.00109639953542,0.498773044135
63,-11649.9539516,-54.6210525984,27.85541,30.5250466667,2.8123552957,1.60305436022,3.10808518817,0.00228064516129,0.372966531183
64,-11646.0860415,-45.0536778883,30.4645442883,27.4172828955,2.8130348259,1.60703619426,3.11191047648,0.00110995723885,0.481856020159
65,-11577.905,-26.002526459,21.7601459016,21.730604918,2.80948204918,1.59032860656,3.07761754098,0.00211475409836,0.573483336066
66,-11607.6394444,-34.7850547635,11.7088109167,11.1235345278,2.75546893056,1.58891740278,3.14434948611,0.000194444444444,0.472264715278
67,-11582.8085714,-31.5596547403,32.441712987,32.8561935065,2.81094909091,1.58455227273,3.09025467532,0.00158441558442,0.513713805195
68,-11641.6593729,-37.301047066,16.2702854785,17.7218016502,2.81181537954,1.6002260231,3.11013570957,0.00199174917492,0.505146458746
69,-11562.3282895,-26.9767130658,30.6375657895,30.4371868421,2.82512328947,1.59653421053,3.07058736842,0.00643421052632,0.618923026316
70,-11634.9063285,-52.2556482145,24.5130696653,27.7543799163,2.82007961297,1.6112884728,3.16921082636,0.000767782426778,0.381770677824
71,-11538.9814667,-17.0682339987,24.28114,24.457068,2.80913,1.58180533333,3.0541244,0.003,0.68882464
72,-11631.9643463,-51.8182785594,10.4318960187,9.14244328523,2.78508895586,1.58089112903,3.07256168081,0.000207130730051,0.410143681664
73,-11553.8888608,-14.1445002785,30.3483898734,31.2483759494,2.82700253165,1.58324316456,3.0435,0.00489873417722,0.740379050633
74,-11657.9930375,-60.1395182162,19.190798521,17.8783226394,2.8271194198,1.58815773606,3.1000754835,0.0148691695108,0.457757521047
75,-11611.6268953,-48.3471276173,29.9382227437,29.3703144404,2.81036397112,1.59061851986,3.08890379061,0.00166064981949,0.467884927798
76,-11585.3266447,-12.7878311559,32.2712006579,32.1929815789,2.81607769737,1.58858967105,3.06397407895,0.003,0.645701486842
77,-11549.3071681,-29.4243979912,19.7802814159,21.001539823,2.80575415929,1.58617646018,3.06553637168,0.00134513274336,0.596416460177
78,-11531.7076271,-13.3060105008,15.8334779661,15.3310538136,2.79976127119,1.59620754237,3.09424550847,0.00422881355932,0.724360711864
79,-11605.001561,-27.2924611805,29.9335521951,29.6976214634,2.80639229268,1.5840975122,3.09076507317,0.0013756097561,0.544661902439
80,-11644.2405637,-42.448593655,17.3155378805,16.4039066516,2.7917848929,1.59807745209,3.10549859076,0.000333709131905,0.496415166855
81,-11605.7074219,-40.3726167031,32.06144375,30.371109375,2.82017601562,1.58304226563,3.07249820312,0.0025078125,0.5523184375
82,-11620.3270126,-56.0064248035,28.8267344909,29.3874867403,2.81154792818,1.57719504736,3.11768949487,0.000495659037096,0.327728643252
83,-11593.9803226,-32.9335179391,22.7129677419,22.029827957,2.79668577061,1.58828860215,3.09233759857,0.000612903225806,0.516400136201
84,-11480.6225773,-7.7022349299,15.5484427835,15.7473319588,2.80488773196,1.58065690722,3.05203175258,0.00275257731959,0.740762195876
85,-11621.7259789,-24.5715249949,30.1364872169,33.3190039255,2.82163431807,1.58999774031,3.10787075491,0.000528938097635,0.55990248767
86,-11618.942725,-55.69163604,16.666402,18.0145775,2.8239330875,1.5932151375,3.1144787125,0.0198225,0.41002733
87,-11645.39,-50.4188628848,25.3826897166,27.0363012146,2.81590137652,1.58730517409,3.10273472065,0.000297975708502,0.3925752
88,-11608.9419757,-48.224430693,26.8324696049,25.0740418237,2.8249432462,1.59335401824,3.10897534954,0.000656534954407,0.360123090578
89,-11551.0515714,-20.8337418571,21.1750714286,20.8967957143,2.80984714286,1.58220157143,3.068744,0.0025,0.602410128571
90,-11608.0266254,-29.8264577839,10.4159299071,10.0569714241,2.79073232198,1.59019123839,3.08935120743,0.000897832817337,0.524375052632
91,-11621.3326725,-40.2727036919,36.321438484,33.2734043732,2.8222196793,1.58996738581,3.10800451895,0.000613216715258,0.577396681244
92,-11645.4732706,-55.4317722612,16.4026698824,17.7377154118,2.79698867059,1.61013218824,3.15689104706,0.000263529411765,0.415620234118
93,-11651.8472142,-54.2249177381,25.5344808973,28.2592789436,2.8160163314,1.59761772069,3.1078996165,0.000601302460203,0.476811175109
94,-11597.9889954,-54.4290101117,29.382772968,28.0721851446,2.80666568341,1.57310480365,3.03566564079,4.35312024353e-05,0.328510035008
95,-11532.343494,-6.36132245422,25.6899819277,26.0482385542,2.82117855422,1.5774839759,3.04761855422,0.00367469879518,0.738618409639
96,-11601.2464752,-21.7912201893,10.596951671,11.1107094517,2.76982250653,1.58207759791,3.07243553525,0.00033681462141,0.543827684073
97,-11636.9746022,-31.7159108245,33.6990205928,32.3705081123,2.82299068643,1.58812209048,3.10149669267,0.00096879875195,0.496165190328
98,-11617.4578992,-41.7697535798,14.6384306723,15.7333436975,2.81146781513,1.6026502521,3.12545394958,0.00533613445378,0.492042432773
99,-11641.1240878,-48.3903989047,28.5003847297,28.2305388514,2.81403351351,1.6084722027,3.13242652027,0.000698648648649,0.487844445946
100,-11601.895133,-48.8809813563,29.3101940953,27.2203356913,2.80597654487,1.61047242619,3.1157890646,0.000149663840982,0.280345991815
101,-11623.0543114,-35.7302473198,29.1132877152,29.0119183099,2.80075286385,1.58556624413,3.09720295775,0.000268388106416,0.586851641628
102,-11604.7961538,-32.1446593266,10.2758737821,11.9613909615,2.79041551282,1.97529977564,2.69152003205,0.000926282051282,0.496771596154
103,-11646.2815465,-37.0172253355,28.8929559633,28.2604710354,2.81821777195,1.58056695937,3.06887420708,0.000667103538663,0.512694520315
104,-11610.2933333,-22.4636572323,11.5153707576,11.6828731818,2.83078914141,1.58751262626,3.07933717172,0.00239393939394,0.497755939394
105,-11577.2192857,-36.9228497629,32.4739328571,32.3439342857,2.816656,1.58332442857,3.05485742857,0.00438571428571,0.618232428571
106,-11663.9376565,-56.2771061369,26.6990873239,26.5984112285,2.81354397887,1.58508765258,3.08616276604,0.000196009389671,0.391913807121
107,-11602.3755229,-34.0096901252,21.0837137255,21.0471035948,2.79116124183,1.57821686275,3.0751001634,0.000692810457516,0.486169816993
108,-11630.9523783,-35.9903541774,15.3093564215,14.7395114491,2.80584310841,1.60262229535,3.15741154314,0.000676438053097,0.521920595133
109,-11594.7556303,-30.7042921008,28.873402521,30.5000201681,2.82248848739,1.57954462185,3.04786789916,0.00205882352941,0.54338097479
110,-11627.951235,-48.4622809967,17.5876095082,17.6509662295,2.80544610929,1.58779836066,3.07873986885,0.00115191256831,0.48337890929
111,-11638.947428,-41.3841609383,37.1873092593,36.8115927984,2.81597909465,1.59991164609,3.11853798354,0.00103497942387,0.456489621399
112,-11626.7119565,-43.7952594814,25.7691475155,23.9895748447,2.81495313665,1.5867731677,3.0674584472,0.00123291925466,0.510027503106
113,-11616.414073,-50.4352823258,24.9707550562,22.3161235955,2.80601991573,1.58482235955,3.09720182584,0.000615168539326,0.482823261236
114,-11583.7297491,-25.4065509771,12.2355170609,12.1514744086,2.78757681004,1.54499301075,2.6643062724,0.000573476702509,0.519406182796
115,-11614.8402075,-36.7904987395,33.3846429274,33.7291732387,2.82152046423,1.59273296559,3.11606908793,0.000904423812125,0.507858280721
116,-11610.5879487,-38.493885094,18.2956324786,17.0174004274,2.79663619658,1.60693696581,3.12321260684,0.000752136752137,0.456667388889
