0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser238,dist_Ser238_2,dist_Ser_to_His,dist_Ser238_to_His,dist_Ser238H_to_His,dist_His_Asp,dist_His_Asp2,dist_His273_Asp,dist_His273_Asp2,sasaSer,sasaSer238,sasaLig
1,-11588.659,-22.029698,36.6157,36.1312758333,20.9600691667,20.4649475,2.81323983333,2.88129583333,1.95218516667,1.58834683333,3.06042808333,2.70842516667,1.57876166667,0.00343333333333,0.0335583333333,0.635384816667
2,-11616.5842169,-36.5094571867,29.965989759,32.5285608434,14.9177668675,16.4334831325,2.80038114458,2.84797174699,1.91847849398,1.58689108434,3.08678301205,2.72125180723,1.57290518072,0.000524096385542,0.0269879518072,0.566766885542
3,-11628.7513007,-44.4718384266,32.4664137063,33.0247043357,22.472947972,22.689434965,2.81296786014,2.84847832168,1.91222668531,1.60757885315,3.13177197203,2.70116240559,1.553726,0.000344055944056,0.032951048951,0.54679286993
4,-11658.5882571,-52.4749186602,35.5514955993,38.4394467284,21.5580926462,23.3651559351,2.81738507238,2.89340039375,1.96182971627,1.59874382166,3.10336286624,3.67667724957,1.54777681529,0.00147539085119,0.0387492762015,0.399120972785
5,-11638.5502245,-54.9544082272,25.4405439241,25.670773065,8.76812986068,5.60584731037,2.80679389319,2.81890586687,1.89267512771,1.59833075464,3.14989160217,1.89100084365,3.29348724071,0.00103521671827,0.0093076625387,0.318521759288
6,-11541.3222826,-42.939752,32.4623858696,32.585298913,13.2494661957,14.6434701087,2.81903173913,2.81742728261,1.88155706522,1.59436619565,3.08379956522,2.590295,1.61742141304,0.00246739130435,0.0613043478261,0.577084445652
7,-11630.5357931,-34.3619461934,32.8545,33.0863065517,14.9065362069,15.2146106897,2.81662993103,2.83164872414,1.89728258621,1.59050248276,3.09723203448,2.711108,1.57053513793,0.00156551724138,0.0275793103448,0.52810217931
8,-11526.112381,-23.7786796349,31.732552381,32.1057666667,14.9323680952,15.18336,2.80881666667,2.85928460317,1.92000396825,1.58234396825,3.03070095238,3.31021555556,2.78080111111,0.0044126984127,0.0264920634921,0.694755222222
9,-11621.7986167,-35.8309607066,35.4289524496,35.2463472622,20.9265729107,20.7373236311,2.81730305476,2.83731677233,1.90268585014,1.5997273487,3.10605930836,2.7447884438,1.56627622478,0.00247838616715,0.0373141210375,0.533544146974
10,-11524.5069333,-44.52413,29.7199773333,30.6026186667,11.5604669333,11.9400154667,2.8189736,2.8268016,1.88887253333,1.5996824,3.06063973333,2.59735666667,1.6478132,0.00450666666667,0.04168,0.54178716
11,-11600.2656067,-28.9127858828,28.893760251,28.7026841004,14.025883682,14.0395957741,2.821148159,2.82175246862,1.87790799163,1.58994217573,3.10569443515,2.62770338912,1.57138937238,0.00285774058577,0.0453933054393,0.526968175732
12,-11621.5171136,-35.8784365614,32.9148136364,33.7740034091,15.5418590909,16.6567547727,2.82077763636,2.86953063636,1.95083202273,1.59754561364,3.12659625,2.673195,1.58016975,0.00158636363636,0.036175,0.512353481818
13,-11586.8693617,-22.4151559894,35.5997432624,36.2194070922,18.8759219858,19.4413851064,2.81493737589,2.85011092199,1.91190829787,1.58476921986,3.06316510638,2.72790382979,1.56919567376,0.00231205673759,0.0332411347518,0.663616787234
14,-11425.8953846,-22.1988998077,33.6208615385,32.7563192308,15.7846576923,15.2114461538,2.81500769231,2.83702884615,1.90040115385,1.57660730769,2.95290730769,2.69529423077,1.58390884615,0.00757692307692,0.0313461538462,0.698322307692
15,-11591.216087,-26.3212478261,33.7872304348,33.5175836957,15.545648913,15.180248913,2.81366021739,2.85143021739,1.92221086957,1.5867298913,3.06602326087,2.80072608696,1.5884501087,0.00207608695652,0.0322391304348,0.598656141304
16,-11625.8124706,-36.5087882518,27.8210945098,27.7301733333,9.86709368627,10.5324201961,2.81049517647,2.84933694118,1.91067003922,1.59171396078,3.10461988235,2.79113184314,1.82203247059,0.0021137254902,0.0282588235294,0.467285611765
17,-11642.3002568,-44.020848,33.7774134094,33.1726660485,16.8929607703,15.3164068474,2.81911467903,2.84354841655,1.89563910128,1.58895873039,3.10749569187,2.53671717546,1.60147236805,0.000413694721826,0.0461340941512,0.4833707903
18,-11610.0295946,-29.4096206351,35.240275,34.8961608108,20.3949378378,19.8009256757,2.82151641892,2.82027317568,1.87732810811,1.58176344595,3.05860054054,2.67826952703,1.57537540541,0.00282432432432,0.0391756756757,0.559080371622
19,-11654.1245145,-58.8232852939,25.5765589802,25.2393482624,10.9556653751,7.65202422215,2.82135239363,2.84588758688,1.89592178629,1.60363206885,3.09198090289,4.88624658006,5.1312295518,0.00126177330302,0.000154595647938,0.336818047093
20,-11507.3766667,-18.0306213542,34.2517916667,34.6706625,16.36059375,16.8635291667,2.832936875,2.83756520833,1.89405020833,1.58079604167,3.012561875,2.66767645833,1.58206354167,0.0075,0.0380208333333,0.7644675625
21,-11627.8484211,-44.9847916537,28.847499446,26.7370645429,7.11052066482,7.4886067036,2.81191891967,2.85052257618,1.91482191136,1.57601922438,3.06337814404,2.61029249307,1.5861934072,0.00083379501385,0.00408864265928,0.438763168975
22,-11555.6857778,-41.9932543111,32.2339322222,33.0354966667,14.8705766667,15.9475811111,2.81220411111,2.92492744444,2.000091,1.58853933333,3.07032522222,4.94945733333,5.69363244444,0.00277777777778,0.0347777777778,0.555068333333
23,-11649.0786517,-38.3268068207,28.4199737079,25.4615865169,9.52347168539,8.0837312809,2.80526932584,2.84223748315,1.89926934831,1.60110222472,3.09696141573,2.76535161798,1.55960440449,0.000685393258427,0.0185887640449,0.473213130337
24,-11677.2745765,-53.0722024245,26.8483099554,25.787968945,8.68218548291,6.61104161961,2.81011756315,2.84455188707,1.90993835067,1.59479619614,3.1113791679,2.8552782318,1.58186104012,0.00246359583952,0.0339687964339,0.374385228826
25,-11540.6452174,-23.3335820543,35.0588195652,34.8708597826,18.6800673913,18.6644771739,2.81977641304,2.85071728261,1.91864108696,1.59199826087,3.067845,2.58312054348,1.58919076087,0.00279347826087,0.0366956521739,0.658015336957
26,-11645.7814692,-44.4430527488,32.8590549763,33.194914218,18.2209800948,16.9491118483,2.81545936019,2.88182995261,1.95790255924,1.58770817536,3.09004654028,2.78884154028,1.57451516588,0.000864928909953,0.0406090047393,0.531837018957
27,-11634.1670859,-59.1554042757,30.8006586457,27.0640697703,17.7493083434,16.2103031439,2.80764250302,2.84347255139,1.9076719347,1.59579067715,3.12098585248,2.72087576784,1.55871290206,0.000238210399033,0.0323059250302,0.441854130593
28,-11606.9030769,-41.11880103,34.6452391162,32.2538625205,22.2132731588,20.151387725,2.80417687398,2.82847810147,1.88129090016,1.58436692308,3.0997912275,2.6179911784,1.57538094926,0.000242225859247,0.0416710310966,0.486250612111
29,-11515.3345,-31.32583405,31.560235,32.4705,13.19928375,14.16511525,2.8234555,2.84323825,1.902202,1.588233,3.036583,2.734933,1.56687975,0.00565,0.0219,0.596516325
30,-11675.0238729,-54.4723912103,25.8311579425,28.347923298,7.06019172466,7.84485122542,2.82010019667,2.81356493192,1.85537748865,1.60465092284,3.10845388805,1.84828591528,2.71520496218,0.0011104387292,0.00373373676248,0.36407496823
31,-11648.4024233,-52.2006472518,25.5929937844,27.1839010228,7.1547538395,6.03004786782,2.80688220299,2.86277538946,1.93591853659,1.58160217152,3.10000921322,3.00388884343,1.62478096774,0.00108733280881,0.0162218725413,0.399103162864
32,-11556.9483333,-39.0326250139,33.7687819444,33.8757222222,14.0685222222,14.2230319444,2.82100680556,2.86171847222,1.91816833333,1.58544638889,3.06760472222,2.83589555556,3.58676777778,0.00276388888889,0.0312222222222,0.577615444444
33,-11625.9450602,-53.2949948434,31.4935457831,33.7611933735,17.8459349398,19.1668439759,2.81719674699,2.85062,1.91008138554,1.58722150602,3.07686048193,2.7054236747,1.5632953012,0.00189759036145,0.0330301204819,0.529741403614
34,-11640.1838327,-44.1170559285,24.6972545627,27.4513446768,12.6776490494,11.8426138023,2.81697958175,2.84223221673,1.89919027757,1.59952511407,3.1078455057,2.66327457795,1.55851458175,0.00199581749049,0.0364315589354,0.434131475285
35,-11657.1605602,-58.4358683257,33.1588180498,33.5627137967,17.2458151452,19.2507158714,2.82774328838,2.84560052905,1.90861036307,1.60379779046,3.12516881743,2.681821639,1.56052242739,0.0014398340249,0.0355,0.474080020747
36,-11621.4844332,-39.4645825262,28.5535148615,30.0408732997,9.7952768262,10.027616398,2.82834934509,3.22770962217,2.42753574307,1.59797523929,3.1140243073,2.8639088665,1.64448299748,0.00290680100756,0.0330478589421,0.484470413098
37,-11659.6629155,-56.3011384973,31.2259565395,27.8826673025,18.6174625341,15.9205459128,2.82116619891,2.92205420981,1.98789614441,1.59837260218,3.11372456403,2.83982859673,1.53920205722,0.00178337874659,0.0190817438692,0.479952607629
38,-11670.4741685,-56.7092739238,27.2288847679,25.0238936007,8.46416652096,5.4363733078,2.81968428121,2.92050295629,2.01577199189,1.60539164038,3.11222997296,2.95395211356,1.58495679135,0.00139116719243,0.00199909869311,0.327033085174
39,-11599.3577778,-46.57482,31.369917284,31.3451864198,14.2443583951,14.0996458025,2.81410061728,2.83500777778,1.90510888889,1.59260493827,3.06058061728,2.65433395062,1.58088444444,0.00246913580247,0.0319012345679,0.50891891358
40,-11595.6956028,-34.543482078,31.2439829787,32.8826539007,16.5362553191,16.9332858156,2.81267148936,2.82337815603,1.87958744681,1.57766914894,3.05313957447,2.65831510638,1.58000191489,0.00236170212766,0.0398439716312,0.571260836879
41,-11574.1335,-48.16694325,31.5537025,32.13474625,14.3364575,14.93805,2.811415625,2.824096625,1.8789805,1.586868625,3.0670315,2.4152225,1.909511375,0.0018125,0.0360875,0.5220732625
42,-11651.912887,-46.2385442259,33.3774016736,31.3984384937,15.2136109205,13.630541841,2.81064937238,2.90253456067,1.9809874477,1.59999422594,3.10220656904,2.84753142259,1.5596092887,0.00134728033473,0.0288117154812,0.477990359833
43,-11619.315102,-33.3418611691,35.6637413994,35.696206414,21.4480201166,21.5159154519,2.82358673469,2.86533973761,1.93551778426,1.59550909621,3.10653402332,2.76962221574,1.56755769679,0.00269096209913,0.0369883381924,0.518810049563
44,-11709.5565959,-65.1382960595,26.5588597661,25.499421178,7.89380880035,4.91919957124,2.81275825899,2.84230916414,1.91215148116,1.60199898657,3.1134730013,3.1823533521,1.77151821568,0.00098484192291,0.0128479861412,0.367250549589
45,-11548.8466667,-32.7943449909,33.2834469697,32.8873651515,16.1053757576,15.8981651515,2.82143833333,2.87311818182,1.928935,1.57988439394,3.02860212121,2.65904272727,1.58353287879,0.00545454545455,0.032803030303,0.611936666667
46,-11595.0376744,-38.563499593,33.4723837209,30.8671895349,19.5334145349,18.6505674419,2.81010569767,2.84918680233,1.90708994186,1.5761222093,3.05940046512,2.56473465116,1.59863697674,0.000790697674419,0.0384651162791,0.607512273256
47,-11641.5431933,-43.1020259664,33.3305831933,31.9843390756,16.3337193277,14.043405042,2.81523105042,2.85701008403,1.92745491597,1.58645798319,3.09000781513,2.6488962605,1.58101294118,0.00128571428571,0.0337226890756,0.541672344538
48,-11570.4322807,-20.327937564,36.1167675439,36.5722096491,19.6248675439,19.908704386,2.81539745614,2.85006307018,1.91280070175,1.58580385965,3.06056377193,2.70403096491,1.57137219298,0.00219298245614,0.0323421052632,0.648426561404
49,-11663.7670567,-42.3358729927,28.7653906764,26.8691084095,12.357836106,10.5429538574,2.81078223035,2.8786549543,1.92935230347,1.59553855576,3.10018806216,2.68252106033,1.56677572212,0.00117001828154,0.0274588665448,0.451365005484
50,-11633.8709774,-37.7026995902,32.2649977444,33.7403,17.9940116541,17.2775015038,2.80898654135,2.8567493609,1.92296109023,1.59608969925,3.09708146617,2.72640221805,1.56670492481,0.0014962406015,0.0336466165414,0.587814334586
51,-11604.9182895,-42.1581732375,32.3361434211,33.0034947368,15.4532359868,16.05295125,2.81349368421,2.85546335526,1.91367756579,1.59209651316,3.09446414474,2.59525092105,1.58504842105,0.00232236842105,0.0397697368421,0.547460256579
52,-11624.0198095,-56.4536629867,31.287912381,31.1341114286,14.560327619,14.4125171429,2.81895647619,2.83604657143,1.90240295238,1.59041028571,3.0627112381,2.67983828571,1.57339095238,0.00229523809524,0.0309047619048,0.480302752381
53,-11601.7978226,-38.546100671,35.210971371,32.763275,20.6779342742,19.1946201613,2.81938052419,2.86730032258,1.93807745968,1.59581157258,3.1085646371,2.7663458871,1.56777629032,0.00287903225806,0.0376008064516,0.540502266129
54,-11684.6540356,-56.3824743391,25.5024299111,26.3446926667,4.64794425778,7.17486974222,2.82190151556,2.85578715111,1.94268044444,1.60317453333,3.11658585778,3.10588256889,1.62192961333,0.00311377777778,0.00706755555556,0.366954537333
55,-11646.6749524,-44.9725901452,31.8765271429,33.5369064286,21.0556866667,21.71089,2.8083137619,2.83796764286,1.9030457619,1.59576102381,3.08707809524,2.66369188095,1.5621692381,0.00143333333333,0.0366261904762,0.544909557143
56,-11635.766049,-41.6666484108,34.0558937063,36.3448982517,19.7488405594,20.7149667832,2.82577423077,2.85134160839,1.91451622378,1.60074138112,3.10784604895,2.67618931818,1.56520732517,0.00132517482517,0.0343444055944,0.564529402098
57,-11646.6373516,-44.676132726,29.7880191781,29.8965429224,10.5131092694,10.5639219635,2.80378013699,2.88321972603,1.94658287671,1.60219013699,3.11977210046,2.91264388128,1.55567086758,0.000680365296804,0.00720547945205,0.492355018265
58,-11666.6980654,-55.4147928501,28.736227248,31.0807978202,11.2115236104,11.3388857221,2.81392972752,2.8725809673,1.94750760218,1.60503095368,3.10217807902,2.72286144414,1.59142223433,0.00200272479564,0.0277179836512,0.319715542234
59,-11631.0334247,-28.421470137,32.7456390411,32.850259589,14.8795342466,14.8792931507,2.81346164384,2.86170534247,1.94066212329,1.60066616438,3.10700328767,2.79149623288,1.5829280137,0.00336301369863,0.0379520547945,0.549962513699
60,-11569.3055769,-9.72533346635,35.8501692308,35.7169634615,18.7719566346,18.6788615385,2.81165394231,2.8721325,1.93434932692,1.58635403846,3.05693019231,2.69829346154,1.57495538462,0.00356730769231,0.0345769230769,0.788613711538
61,-11642.4253073,-42.2742266877,36.2819419926,38.4076198324,16.8689040968,19.8195827747,2.80148949721,2.82494826816,1.89156296089,1.5909413594,3.11160364991,2.55053614525,1.61085701117,0.000185288640596,0.0423100558659,0.533520854749
62,-11529.8823077,-28.6313345769,30.3674788462,30.2613211538,10.5486292308,10.5119153846,2.8102425,3.00091423077,2.17515269231,1.58621288462,3.0539025,3.14929980769,1.79262307692,0.00473076923077,0.0340192307692,0.591023192308
63,-11613.9859701,-35.7191017905,26.477940796,27.7931353234,11.3899194527,11.0185862189,2.81754164179,2.82587542289,1.88025069652,1.58766935323,3.08968616915,2.64449761194,1.56397298507,0.00174129353234,0.0155024875622,0.49093461194
64,-11631.6124453,-35.4290532189,33.5934377737,33.1934490876,20.3906722628,19.2707990876,2.81787870438,2.86632286496,1.93067315693,1.58840708029,3.09684427007,2.67020315693,1.57081536496,0.000886861313869,0.0381040145985,0.509226410584
65,-11599.6299605,-17.1695643328,30.552426087,29.7784968379,14.5276083004,13.9921535573,2.80746557312,2.85660604743,1.91653972332,1.5987026087,3.10350343874,2.75665501976,1.564183083,0.00121343873518,0.0161462450593,0.624541865613
66,-11651.0236123,-45.1888208517,31.3025963289,31.5338975037,18.0889941263,18.2632086637,2.8220407489,2.87132230543,1.95004408223,1.60061759178,3.12926060206,2.64273190896,1.58132434655,0.00116299559471,0.0377488986784,0.484592649046
67,-11639.047112,-37.8917317609,26.7255123772,27.4129280943,10.3826450295,13.5189184676,2.81624449902,2.85536280943,1.92346563851,1.59637644401,3.09549333988,2.72728563851,1.56465536346,0.00149115913556,0.0386758349705,0.50917162279
68,-11643.0102392,-43.6167070096,30.6511021531,32.8092172249,13.2187569378,16.8450186603,2.81196299043,2.86417425837,1.92301222488,1.61004344498,3.15106681818,2.83860045455,1.55976791866,0.000296650717703,0.0415765550239,0.513979861244
69,-11638.6947,-44.7067632325,32.01910375,34.86197375,19.037577,20.79208275,2.8337396,2.886611175,1.948326975,1.6001732,3.089048575,3.40522265,1.53631915,0.00483,0.0422575,0.494156365
70,-11646.2095364,-49.6247250033,26.2606410596,27.3532900662,7.37969334437,7.37646321192,2.81574321192,2.81162490066,1.85748102649,1.60274870861,3.12615271523,2.64889599338,1.59099516556,0.00243377483444,0.0239900662252,0.428051337748
