0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser_to_His,dist_SerH_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser238,dist_Ser238_2,dist_Ser238_3,dist_Ser238_4,dist_Ser238_5,dist_Ser238_6,dist_Ser238_to_His,dist_Ser238H_to_His,dist_His273_Asp,dist_His273_Asp2,sasaSer,sasaSer238,sasaLig
1,-11592.580887096778,-43.07163545161292,32.956408064516125,34.2694193548387,2.8021157258064515,1.9071286290322582,1.5812429032258064,3.07289693548387,11.71655427419355,13.311109677419356,15.594044354838708,13.736176612903229,14.064020967741932,15.962833709677419,2.982438790322581,2.063140241935483,3.4314088709677417,1.5272129838709674,0.0007580645161290322,0.04246774193548388,0.5698840725806452
2,-11614.214426362898,-73.91164984540278,27.015004882017898,30.364206997558988,2.8164451993490642,1.9226864198535394,1.58674065093572,3.129726769731489,9.809795549227015,6.510204865744507,7.4880145809601295,10.55938997558991,5.1747688364524,7.487612774613506,2.9210917737998376,1.9824551505288852,3.3722828641171683,1.5354032546786005,0.00045240032546786007,0.0006623270951993492,0.2900641781936534
3,-11622.590097879283,-71.385095588907,27.85656133768352,26.652176835236542,2.7984665252854812,1.9066941924959215,1.5700127243066884,3.0532522675367044,10.877436672104405,5.550399608482871,5.867855334420881,11.155577259380099,10.514841337683524,10.289177569331159,3.3194128711256115,2.743399951060359,3.4428776182707987,1.5245942577487765,0.0001761827079934747,0.002812398042414356,0.41857797063621527
4,-11634.712535925613,-54.19271371935757,31.663457142857144,31.590979712595097,2.7994940152155534,1.9116303296703294,1.56554157227388,3.0426034488588334,13.140399678782755,14.398774835164835,17.140664412510567,15.906193153000846,17.64201259509721,20.07587349112426,3.0649056720202874,2.142633279797126,3.5187692983939143,1.5314865765004224,0.00014370245139475908,0.04271851225697378,0.4590115308537617
5,-11588.25715083799,-33.02870296089385,34.616102793296086,34.49175139664805,2.8001754189944132,1.9107439106145252,1.5684392737430168,3.0397943575418997,18.436356089385473,16.764973854748604,16.16163189944134,17.755182122905026,16.14750279329609,15.488807094972067,3.017745642458101,2.0990675418994416,3.469518100558659,1.533661899441341,0.0005754189944134079,0.04839106145251396,0.4714072793296089
6,-11652.080979715147,-86.12103355589124,25.435787095381958,26.370166033664226,2.8260043547690983,1.9318300949503668,1.5944808675010793,3.153488200258955,5.230498100992664,7.6938123996547265,8.168861337936988,4.7450822788088045,10.285591976694,12.539845446698315,2.93461797151489,2.042157557186016,3.2693564825205,1.5309509495036688,0.0002796719896417782,0.0005744497194648252,0.2923383668536901
7,-11599.085499999997,-60.53489852307692,29.497218846153846,26.340922692307693,2.799547846153846,1.9076826923076924,1.5697870769230768,3.0458484615384616,13.704417076923077,12.571332961538461,11.200158538461539,12.53144026923077,8.707089615384616,7.055707923076923,2.8808494230769233,1.9438860769230768,3.4109455,1.5290101923076922,0.000626923076923077,0.0029307692307692307,0.4224574230769231
8,-11617.084324786325,-53.13596667350427,38.32766427350427,37.0153358974359,2.8077910427350425,1.9157013162393162,1.577479452991453,3.0673604273504274,11.533319743589745,15.859248376068376,15.554669230769234,9.333820769230769,14.549142735042734,16.331455042735044,3.0460706666666666,2.1646054871794873,3.3967667521367524,1.5389072136752138,0.00038119658119658114,2.2222222222222223e-05,0.4592985709401709
9,-11644.699613439305,-65.68534139631501,27.0488675216763,25.76757268786127,2.8083290462427746,1.908610498554913,1.5926783345375721,3.1091921062138725,9.75791940751445,7.974351044075145,4.317192915462428,8.05663775650289,7.9382764812138715,7.619104458092486,3.0019907261560697,2.098483280346821,3.473058005780347,1.5217904624277458,0.00018569364161849711,0.00038981213872832376,0.34722163836705205
10,-11607.518036578806,-56.58208626788596,36.42264437869823,34.619681280258206,2.7971574394835934,1.899673405056482,1.5733536309844003,3.0715009521247985,19.862048789671867,21.445304195804198,18.370539429800967,16.644539644970415,18.797402743410437,18.50560909090909,2.995392339967724,2.0962342173211406,3.38333608929532,1.5426430876815491,8.983324367939753e-05,0.0016756320602474455,0.4585570511027434
