0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser238,dist_Ser238_2,dist_Ser_to_His,dist_Ser238_to_His,dist_Ser238H_to_His,dist_His_Asp,dist_His_Asp2,dist_His273_Asp,dist_His273_Asp2,sasaSer,sasaSer238,sasaLig
1,-11641.156617647057,-38.30204597058824,35.05314024064171,33.2042621657754,19.326176737967916,18.782320187165773,2.819033114973262,2.874908569518716,1.9602854812834223,1.6003688502673798,3.1147258021390374,2.944221938502674,1.5730998663101603,0.0019558823529411767,0.03621791443850267,0.5011770360962567
2,-11567.293925233644,-20.91237485607476,29.888572897196262,29.893687850467288,13.316938224299067,13.32818878504673,2.813868785046729,2.8631331775700937,1.9334723364485982,1.5815542990654208,3.056892523364487,2.9494138317757006,1.5705421495327105,0.002093457943925234,0.030644859813084114,0.6559607943925235
3,-11625.152919708033,-41.2084706979562,32.97690846715329,32.367507737226276,18.779299124087593,19.123212846715322,2.82038002919708,2.881299547445255,1.9551615182481752,1.590964832116788,3.111487649635036,2.9161997226277374,1.5616175620437955,0.001194160583941606,0.03486861313868614,0.5404375562043796
4,-11631.876729957807,-52.13809285232068,28.63116582278481,28.81707447257384,6.275908481012659,6.385960928270042,2.8251236075949366,3.039809367088608,2.20446917721519,1.5940522784810125,3.0985897046413498,3.9539639240506337,4.250527616033756,0.0034451476793248953,0.0017700421940928272,0.4213880569620254
5,-11609.689374090249,-52.97922096215429,30.38514730713246,27.407801018922857,13.005695633187772,11.329544832605531,2.800790145560408,2.86642615720524,1.9488266229985443,1.589485371179039,3.104842270742358,2.921774978165939,1.5849271615720522,0.0011179039301310045,0.037186317321688506,0.4924905443959242
6,-11659.401890941073,-48.23939458619174,29.82611596306068,29.32420655233069,12.572973759894458,11.320300791556729,2.8241887818821456,2.939381424802111,2.008084656992085,1.5837133817062445,3.073139674582234,5.169508386103782,5.985426820580476,0.002149076517150396,0.03003122251539138,0.405850167985928
7,-11570.716810344828,-24.320425862068962,35.03005,35.06034827586207,19.59791465517241,19.671978448275862,2.8183302586206893,2.869788793103448,1.9470268965517243,1.5834925862068967,3.0731175,2.9199048275862074,1.5676529310344827,0.0014310344827586207,0.034499999999999996,0.5813786379310344
8,-11611.023895899052,-33.12017449305994,32.789737381703475,35.192006151419555,23.394602523659305,25.358932018927444,2.822435173501577,2.8802201735015776,1.958492050473186,1.6007018454258675,3.126941261829653,2.8795610883280753,1.5607124605678233,0.0009511041009463722,0.03614826498422713,0.5698565851735016
9,-11590.406240601502,-42.44872540714286,29.470394360902258,29.962777819548872,14.597923684210524,15.701451503759401,2.811559398496241,2.8641569924812025,1.9424526691729322,1.5815636842105263,3.0483711654135335,2.970148082706767,1.5610455263157894,0.0023684210526315795,0.03492857142857143,0.5435007406015037
10,-11706.894789169995,-62.40562635863294,25.698727785175326,25.113529249889037,6.675940954283178,9.93163462494452,2.8040369196626718,2.902505162006214,1.9891227208166893,1.596726236129605,3.1022195517088322,5.23870891256103,5.837609809143365,0.001064358632933866,0.006943186861961828,0.3473754664891256
11,-11583.453448275865,-23.959458931034483,33.36600896551724,33.53055517241379,15.077808344827588,15.120780965517243,2.820183379310345,2.883617448275862,1.9579440689655172,1.5853649655172415,3.0800384827586207,2.828866344827586,1.553986551724138,0.0019586206896551727,0.03564827586206897,0.6139714551724137
