0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_activesite4,dist_activesite5,dist_activesite6,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,sasaSer,sasaLig
41,-11622.259127516778,-30.461256877248324,21.173721140939602,22.51394865771812,20.269226510067114,21.227076174496645,21.969460738255034,22.41550201342282,2.802764026845638,1.5806507718120808,3.0841796644295303,0.001348993288590604,0.5176145570469799
42,-11623.690629370627,-34.61211104545454,15.010243356643354,13.44061958041958,16.71933048951049,15.503267482517483,12.838787972027973,11.396543776223776,2.789698251748251,1.5872744055944057,3.055658881118881,0.0014895104895104897,0.5204205384615385
43,-11657.107476390347,-64.24977848898216,25.665033001049316,28.71054328436516,23.03687906610703,25.971016526757612,25.161003410283314,26.105852203567682,2.8223568310598113,1.590315797481637,3.11389407135362,0.000680482686253935,0.36085756610703046
44,-11675.678421701603,-56.4231277324291,17.301731319358815,18.581938224414305,16.286063378545006,16.414738840937115,21.63648014796548,22.79586572133169,2.778030912453761,1.584241196054254,3.0836750554870527,0.00029716399506781756,0.4885216868064119
45,-11684.916083521444,-64.11090641083521,28.368567494356657,32.65362200902935,24.653968848758467,27.611304401805867,30.205343340857787,33.29833781038375,2.8206878668171553,1.59501039503386,3.106402415349887,0.0010462753950338602,0.4678880383747179
46,-11694.5091488604,-55.90962473290598,32.085205128205125,31.418698290598293,27.93976623931624,25.41188735754986,29.286648326210823,27.76954807692308,2.808746602564103,1.580652022792023,3.129361385327636,0.0008059116809116811,0.3554576207264957
47,-11637.287718550107,-48.351713614214646,26.07667810945274,26.080356005685854,21.11950739161336,21.12520277185501,26.041025444207538,27.572496943852173,2.8189991044776117,1.5891118550106607,3.095684953802417,0.0016204690831556506,0.4711531485429993
48,-11637.68284090909,-37.01095886931818,10.532921448863638,9.683796988636363,11.115850653409092,10.744851051136363,12.484542755681817,13.096562812500002,2.8011616193181816,1.5748242897727271,3.068265,0.0005681818181818183,0.4298451051136363
49,-11696.676606099934,-57.23841584036339,28.742339844256964,29.47799357560026,24.650739390006486,24.3786737183647,26.13426489292668,27.07953043478261,2.8120376703439325,1.5820085658663205,3.1130961648280335,0.00016158338741077222,0.38466526606099927
50,-11657.28940609952,-55.66891016693418,22.938125521669342,19.74899871589085,21.529829695024073,18.739588282504016,22.511507062600323,21.119007865168538,2.788712086677368,1.5802851203852328,3.0961774638844304,0.00036757624398073844,0.43669211075441416
51,-11685.804413593038,-65.24066921467053,29.99114338997099,28.162147492747618,29.14987144633237,26.988590924160793,24.544102154993784,26.668781599668463,2.8200502818068793,1.5897090882718607,3.10705702859511,0.0024351429755491093,0.33694639701616247
52,-11656.164831538728,-55.413557482980195,27.279749010072944,25.846632198680098,31.8104814866273,32.028220597429666,31.428543452587704,27.46267599861063,2.8250538381382424,1.593640215352553,3.088621910385551,0.0003678360541854811,0.34568414032650224
53,-11649.672014134274,-42.25461930839223,30.778030300353354,27.82995477031802,29.584389929328623,27.330815724381623,31.57227950530035,30.906937014134275,2.816701413427562,1.5831011219081272,3.1077413427561837,0.00016342756183745582,0.5169217738515901
54,-11659.470693568726,-28.44617379495586,17.295365321563683,15.414979949558637,17.81226998738966,15.524994325346784,12.197863745271123,11.340799003783102,2.8062219167717535,1.592506254728878,3.0882116897856244,0.0005889029003783103,0.558431291298865
55,-11657.826968503936,-52.722588657480316,32.34477125984252,29.23169527559055,32.79601614173228,29.750919685039367,29.976594881889763,27.139098818897637,2.811276653543307,1.5702353937007874,3.0640238976377954,0.0005354330708661418,0.44060524803149603
56,-11677.904906204905,-46.92909033520924,19.12812207792208,16.307383164983165,22.14047373737374,19.45372833092833,16.50107575757576,13.737386628186629,2.806490206830207,1.579256103896104,3.096915007215007,0.00046945646945646956,0.46764634391534393
57,-11655.832814498934,-45.623246038805966,29.555203880597013,28.47154904051173,35.20479253731344,34.99688243070362,32.16232371002132,30.662558038379533,2.820352690831556,1.5924628230277185,3.115505279317697,0.0003901918976545843,0.42996036886993605
58,-11654.34646401985,-55.32487546650123,25.317105831265508,26.486928908188585,30.332389081885854,31.613637096774195,27.15523895781638,27.493041563275433,2.809132568238214,1.592038771712159,3.1071802853598016,0.00047766749379652605,0.4134357729528536
59,-11650.557267292912,-57.25451259180187,29.399446456020495,26.747843808710503,31.693005892399658,29.722327113578142,30.217581511528607,28.151842314261316,2.8190270794192998,1.590407263023057,3.1217126942783944,0.0010354397950469686,0.4230828104184458
60,-11666.974026927786,-46.04472565605875,15.083010618115056,16.39192111995104,17.93992899632803,20.126363488372093,19.718273671970625,19.357125501835984,2.8055982619339046,1.604779865361077,3.223351303549572,0.0009222766217870258,0.4455731621787026
61,-11660.944467306812,-37.70617953484225,28.428786465477824,30.2780573388203,24.483377549154092,25.373433104709648,26.718891266575216,27.252395564700503,2.8165370324645633,1.5926398811156834,3.0974600091449473,0.0006058527663465935,0.5233100256058527
62,-11613.11856287425,-29.209083736526942,16.52891856287425,17.20284071856287,16.09860958083832,16.08118982035929,17.834556287425148,18.542119760479036,2.8201432934131736,1.584905508982036,3.0857903592814373,0.004670658682634732,0.5161716526946106
63,-11658.185635792779,-61.63639309262167,28.03950188383045,26.30796624803768,33.22475290423862,32.27297017268445,27.84124693877551,25.500158555729982,2.81484557299843,1.6075338461538462,3.1245713186813187,0.0018649921507064367,0.36082701726844585
64,-11668.908353658533,-48.82118571073171,30.069394390243907,29.303513658536584,29.64988207317073,28.33203963414634,30.699536951219514,30.298188048780485,2.8014438292682926,1.592442256097561,3.0991289268292683,0.0004073170731707317,0.38913539634146344
65,-11593.047317073171,-13.93623150487805,25.49962113821138,25.041681300813007,26.341186991869918,26.00310406504065,25.559078048780492,25.050247967479674,2.8081171544715446,1.5787656910569106,3.058798048780487,0.0015447154471544715,0.6157675447154473
66,-11659.09077199282,-42.66203714685817,12.753832854578096,10.957664111310594,14.85469867145422,13.228540574506281,15.135945188509876,13.492491795332137,2.797163608617594,1.5705169120287252,3.0587857450628366,0.0011561938958707363,0.45867333393177745
67,-11642.992320261437,-22.231756973856207,27.59837352941176,28.421975816993463,28.338041176470593,28.77527614379085,27.713329084967324,28.626723529411766,2.819142124183007,1.5882574509803922,3.091247777777778,0.000565359477124183,0.5004718888888888
