0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His129_Asp,dist_His129_Asp2,dist_His129_Glu,dist_His129_Glu2,sasaSer,sasaSer133,sasaLig
49,-11719.501210623843,-52.40695145151328,23.810759604694255,25.016141815935764,19.131256145768994,2.7906807350216183,1.6025327856701668,3.117496306361952,12.115709586164298,7.408949512044472,8.44324769610871,4.407084051883879,5.480262798023472,3.896117992588018,2.276842056825201,1.7299746324891907,0.05930203829524397,9.944410129709696e-05,0.43950290735021624
50,-11681.150363036302,-50.417249920132015,18.65379240924092,21.557247524752473,19.065800330033003,2.811857656765677,1.5994225742574255,3.1095460726072606,10.519611815181516,12.219731287128713,14.96096897689769,4.561331947194719,5.978241947194719,4.815313894389439,2.0117283168316833,1.8932958745874586,0.03018811881188119,0.0001221122112211221,0.42725159405940594
51,-11707.6093814433,-58.31236757152061,20.615065721649486,21.44927532216495,19.271187500000007,2.7872947036082474,1.6098691688144324,3.1363434085051547,8.77079137886598,8.651748930412369,9.925579922680413,4.350971585051546,5.494008853092784,3.8721256701030926,1.6764676288659792,2.3505009020618557,0.0579742268041237,4.1881443298969074e-05,0.4776770425257733
52,-11705.899269051322,-47.968697034992225,18.90120365474339,20.223904587869363,22.699614541213062,2.7869315396578536,1.5811576205287714,3.07808966562986,11.116302931570761,15.566187791601866,15.507322402799378,3.0783367418351473,1.5593366174183514,3.119638693623639,4.818495738724728,4.791824860031105,0.00010886469673405911,0.016073872472783832,0.42484681026438564
53,-11728.559904,-69.33623280456,22.599238839999998,20.8470876,19.489306999999997,2.836952336,1.5931181,3.131340456,12.54276042,9.41610524,5.857712884000001,4.506305532,3.755867576,1.662998036,3.2227442760000002,4.909391672,0.0024083999999999998,0.068438,0.4063455824
54,-11686.573700340521,-37.07290370204313,22.396951702610668,21.246074631101017,19.906123098751415,2.78656041430193,1.5874268671963678,3.1222129909194094,10.60327752553916,8.201573229284904,5.158659971623156,4.793184971623156,6.036118740068104,4.600418484676504,2.3859074347332574,1.6391287003405222,0.05595629965947788,3.4619750283768445e-05,0.48449206923950056
55,-11681.061524926685,-42.36974962328445,24.173525219941347,22.36160894428152,25.76588431085044,2.8014908357771264,1.5828761730205279,3.0904065542521995,15.053762170087975,16.22238228739003,14.043386187683286,2.974879706744868,1.556388753665689,3.1347721554252197,4.438059252199414,4.409633929618769,0.0006436950146627567,0.047228739002932556,0.4799942727272727
56,-11621.665826771656,-9.70050696850394,21.560529133858267,21.23349291338582,21.351277165354333,2.835694173228346,1.594520157480315,3.091151732283465,11.398413307086615,11.78441787401575,10.67698377952756,4.351312362204725,5.447650708661418,3.829975118110236,1.5960266141732282,3.7666066929133857,0.042307086614173234,0.017133858267716538,0.6284056692913385
57,-11702.695469448583,-38.961466606110285,21.2313129657228,20.317929955290612,17.570162593144563,2.8507615350223547,1.6124136512667662,3.1554130551415795,11.393265529061104,10.944727093889716,7.431137526080477,4.467509836065574,5.938398301043219,4.3745230700447095,1.6861175111773472,2.432463442622951,0.03004918032786886,2.5335320417287633e-05,0.4787900327868852
58,-11712.828282535076,-59.227637388243835,24.05147290759555,21.07303638122883,23.515975084663765,2.8427272762457667,1.5996163715529754,3.115191644895985,13.694409192065795,12.277295873246251,8.932414300919207,4.5287111562651186,5.64561793420416,4.327164252539912,2.5980805805515237,1.5805513497822932,0.02253217223028544,0.03999516207063378,0.47408771407837447
59,-11598.44698630137,-26.32269190958904,26.760744520547945,24.898801369863016,27.427786301369867,2.799489383561644,1.58792897260274,3.087375753424657,15.636322808219182,17.423725410958905,15.986847328767123,5.015003013698629,3.560735958904109,1.5590398630136986,4.699559041095891,4.85426205479452,0.05995205479452055,0.03185616438356164,0.5783056917808219
60,-11583.275789473682,-3.929330018421053,26.789902631578947,26.10301052631579,26.823949999999996,2.8227936842105263,1.5925182894736842,3.0623927631578947,15.733146184210526,15.908470921052634,14.868900921052635,4.435615263157895,5.3000385526315785,3.7175153947368424,2.072667631578947,2.621378026315789,0.04257894736842104,0.00030263157894736844,0.7067087368421053
61,-11713.568892072588,-66.44513866905443,21.50359006685769,21.15875487106017,21.295710983763133,2.7919497803247375,1.6040663753581659,3.135034603629417,9.472167258834766,9.894646776504299,9.936114536771727,4.47026953199618,5.599119961795607,4.005936275071633,2.150743801337154,1.8803457497612224,0.05737631327602675,1.3371537726838588e-05,0.46430731996179564
62,-11706.475103448276,-53.201762236206896,23.26357448275862,23.199211896551724,19.0394574137931,2.803854568965517,1.6030831206896552,3.1063126896551725,10.55584120689655,7.190202637931035,4.43011972413793,4.84024224137931,6.315019672413793,4.610836448275862,1.6821708448275863,2.8926552758620687,0.058768965517241374,0.03649827586206896,0.4987599362068965
63,-11718.29758103869,-61.900583081212964,23.301714569536422,22.651922899965147,19.755071627744858,2.790261540606483,1.5862112443360055,3.1006057337051236,13.536282955733705,10.606774945974207,7.019148553502963,4.212008884628791,1.5698025270128966,2.9920556395956774,4.667052610665737,5.563210888811433,0.00020076681770651798,0.08740780759846635,0.408817003485535
64,-11682.484587155965,-38.911915131307346,22.178847247706422,18.8514880733945,22.476989105504586,2.792225905963303,1.5936902293577984,3.1127768233944955,10.708417855504587,11.019020355504589,8.625997924311928,4.62047621559633,5.516099816513761,4.04351005733945,2.4373391972477063,1.8723132683486239,0.05947018348623853,0.0023199541284403672,0.4720290665137615
65,-11506.343606557377,-16.384616140983606,27.79518524590164,27.174590163934425,27.807083606557374,2.790271967213115,1.5830465573770496,3.0472950819672135,17.819162295081966,18.090564754098356,17.389983606557372,4.887260491803279,3.6970370491803277,1.6249767213114754,4.155970655737705,4.792715901639344,0.05150819672131147,0.0018032786885245904,0.6493147213114753
66,-11697.607299006324,-45.81707649412827,25.630973035230355,25.097012420957544,21.605561788617884,2.7788425067750673,1.5812710027100272,3.0784064679313463,16.008886454381212,13.218685329719964,10.456922800361337,4.050520207768744,1.5005093224932249,3.2935399774164407,4.058347199638663,4.128199850948509,4.652213188798555e-05,0.08256729900632338,0.40679382971996386
