0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His129_Asp,dist_His129_Asp2,sasaSer,sasaSer133,sasaLig
1,-11648.314097560975,-47.61980775295935,26.13134986449865,25.989166178861787,27.02123745257453,2.7879170677506777,1.583856113821138,3.0715837723577235,18.918294168021678,19.451258363143626,18.00032256368564,2.9721011978319782,6.27280708401084,4.737995723577236,0.00016097560975609758,0.04039783197831978,0.502447214092141
2,-11644.188018664752,-61.222453397487435,23.74080552763819,20.83827480258435,22.378776669059583,2.8221182124910262,1.58849328068916,3.1018461162957642,13.198960739411344,13.808959432878678,10.466956920315864,4.786772498205312,4.394070057430008,4.26235631730079,0.029750897343862173,0.02987796123474515,0.4401981342426418
3,-11670.46137455289,-52.10095653331629,21.310948083801737,20.737057639243737,21.65142922841083,2.81548992335207,1.5853114971895759,3.0973838426162494,12.58168811957077,11.062157920286152,10.637576346448645,4.822885784363823,4.265828972917731,4.265998237097598,0.010575881451200819,0.03693561573837506,0.4633602217680122
4,-11638.851613756615,-28.594066328042327,22.3056082010582,20.44508439153439,20.673995767195766,2.8127571164021163,1.5819924074074077,3.064105052910053,11.158217883597885,9.979119074074074,7.260840238095238,4.272294338624339,1.647892486772487,3.1340650264550267,0.0027142857142857142,0.02173544973544974,0.4637853333333333
5,-11666.478639308856,-35.04396484384449,24.86851468682505,25.924733045356373,20.919535205183585,2.8093380129589636,1.5822634989200863,3.0710534989200866,13.964308574514039,10.525628034557236,10.86342343412527,4.303727602591792,2.327075464362851,1.96546686825054,0.0025680345572354213,0.07195248380129587,0.480934969762419
6,-11661.262423887587,-31.98215047540984,18.626005269320842,19.123038524590164,18.371584660421547,2.7996535480093674,1.6085834660421543,3.1130126932084305,8.511143243559719,7.135054203747073,7.102799660421545,4.379919180327868,2.957961779859485,1.6369356440281029,0.00045901639344262296,0.0014309133489461361,0.49891095901639343
7,-11639.984637362637,-34.21501734945055,16.95887736263736,18.745764395604397,17.25994065934066,2.8174037802197804,1.6104987032967033,3.1146607032967033,10.150337912087911,11.613161384615385,11.098648835164836,3.167656967032967,1.7799677142857147,3.1134525054945055,0.0006109890109890111,0.05601318681318681,0.5332736
8,-11650.152961992137,-38.278402076671036,17.547559108781126,17.792946657929228,19.495790039318482,2.8150515727391876,1.5849030013106162,3.0718447968545215,4.414427116644823,7.706188597640892,8.63302899082569,3.0028687811271295,3.186193079947575,2.057303342070773,0.004216251638269988,0.023499344692005243,0.44855493446920053
9,-11649.71891170431,-40.597944904106775,22.081429774127308,21.80203613963039,25.27968767967146,2.7919411088295685,1.583452566735113,3.0765099794661186,10.389727597535936,14.380288562628337,16.247639548254618,3.0992199589322382,6.840752135523614,5.665652135523614,0.00032032854209445585,0.026110882956878852,0.4692235379876797
10,-11680.884450718684,-55.28136261334086,25.802407186858314,22.84077181724846,25.86912818275154,2.7752588809034906,1.577262766940452,3.0638297946611908,16.361370780287476,16.981194152977412,14.14037567761807,3.4175179004106777,3.0999653388090347,1.709510590349076,0.00013090349075975359,0.12800205338809034,0.3967078957905544
11,-11568.044757281552,-12.614963382524271,27.323220388349515,26.70088252427185,27.335697087378644,2.8048218446601942,1.5735649514563104,3.072374077669902,16.315070485436888,16.630969126213593,15.839860582524272,3.3560273786407766,2.9961241747572824,1.5691838834951457,0.001650485436893204,0.15169902912621364,0.6177172718446602
12,-11659.57172671652,-42.38254951624745,17.29734758667573,19.905169816451394,13.4417101971448,2.818222576478586,1.5848773895309316,3.0741895241332426,6.0058706254248815,4.291191257647859,6.0500280421482,3.1838133922501695,1.6136486947654658,3.1865296261046905,0.0024670292318150922,0.00022433718558803533,0.44467160910944936
13,-11636.25461734694,-35.34023009107143,17.068362755102044,19.02614923469388,16.620442346938773,2.803272678571428,1.595245663265306,3.1091851530612242,7.112814387755103,6.360565510204083,7.549455510204082,4.042504489795919,2.89322418367347,1.6347840051020406,0.0003801020408163265,0.006607142857142857,0.5081707295918367
14,-11659.335171624714,-30.441879347520977,25.361753241800148,24.51255797101449,21.659397254004578,2.819839176201373,1.5876408619374525,3.0902566819221966,19.132885804729217,14.26817466819222,13.746755148741418,4.789518390541572,2.6372386651411137,2.503680038138825,0.01358047292143402,0.0816086956521739,0.42858849046529357
15,-11687.723567123287,-51.4724177270685,24.05812712328767,22.103811452054796,23.032219452054793,2.815376076712329,1.5985648328767124,3.1098439616438354,12.645358701369862,13.561934575342464,11.103061906849316,4.39953344109589,3.053007764383561,1.5842013808219177,0.0065441095890410965,0.018003835616438358,0.4505425232876712
16,-11612.7251758794,-15.34900914221106,21.676187939698494,21.6686959798995,22.2355175879397,2.8295971356783918,1.5840799497487437,3.069581909547739,12.80718904522613,13.242504422110551,13.236957185929649,4.950433316582914,4.442261909547739,4.580028542713568,0.018592964824120598,0.029999999999999995,0.5841242261306533
17,-11641.98885638298,-42.55357088617021,21.92713218085106,19.51408776595745,21.181024468085106,2.784511542553192,1.593029441489362,3.0879118617021275,10.553111728723405,10.150676329787235,7.4305503989361705,3.5287160372340427,3.0080163829787234,1.5396859574468085,0.0005106382978723404,0.011090425531914893,0.4692604335106383
18,-11663.040613052077,-52.59923795247198,22.627809558338825,20.069206460118654,21.68392551087673,2.8326639024390246,1.5912311667765326,3.1143421357943306,9.880069947264337,10.079116097560975,7.3446615359261695,4.247301779828609,2.895378352010547,1.7890837442320369,0.047127883981542516,0.0004561634805537245,0.48583471522742255
19,-11645.567553058676,-29.531464975131083,20.666301747815233,18.121439825218477,21.22536791510612,2.8224174781523095,1.5980819975031209,3.09981077403246,10.515414631710366,10.274334169787764,7.855282933832709,3.907777290886392,1.767495518102372,3.468389538077403,0.019478152309612983,0.00379900124843945,0.4501955018726591
20,-11670.186620660812,-58.65812865227938,23.316766081137597,20.902411125052275,24.4216904224174,2.8134039732329574,1.5838742116269344,3.068907636971978,13.282330330405689,15.842921062317021,13.907196336260977,4.421203157674613,1.4900354746967797,2.9686196821413633,0.0024466750313676287,0.026361355081555835,0.5097484487662065
21,-11683.201575135789,-67.57503216354857,24.594166385033194,22.211416173808086,22.78873264936632,2.7906616656608327,1.5761815147857572,3.0566489197344597,14.387164592637298,14.909384055522027,12.497550555220279,3.880637145443573,1.542293802051901,2.9439004345202178,0.00016958358479179244,0.02373023536511768,0.4591819444779722
22,-11666.951573660714,-45.31059759118303,22.705002901785708,21.438918526785706,21.479687500000004,2.7723254575892855,1.5746377008928572,3.0498291629464274,10.5367309375,10.447130580357143,9.33716435267857,3.7725115401785723,3.028850837053571,1.5006768861607143,0.00010044642857142857,0.09320758928571427,0.4992524319196428
23,-11657.069773499434,-42.86344392978482,18.520942129105325,17.967475877689694,19.441707701019254,2.8242925821064553,1.5906918346545866,3.0891125594563986,7.55020295583239,7.464925934314835,6.207425549263873,4.374319082672707,2.9588274518686304,2.0561698414496035,0.016305775764439413,0.0023488108720271803,0.4678521891279728
24,-11669.087296105803,-58.206927229243206,21.44338236590742,18.996892138133724,20.530741072740632,2.8192769728141074,1.5853596620132255,3.0790026304188096,11.10945912564291,11.364001300514328,8.058142777369582,4.47462164584864,4.118080918442322,4.649043108008817,0.01117340191036003,0.00031888317413666424,0.4418113651726672
25,-11575.991465517243,-20.12351223275862,25.672627586206897,25.654818103448278,25.34558965517241,2.82167301724138,1.5838293103448275,3.0608616379310343,16.102709137931036,16.153939396551724,16.072552586206896,4.413083879310345,3.69991525862069,3.7395602586206893,0.02847413793103449,0.019887931034482755,0.5884636724137932
26,-11583.803248407643,-21.143933014012738,20.231389808917196,19.57380382165605,20.884529299363056,2.802894331210191,1.594663121019108,3.0956033757961783,10.812201401273887,11.622430636942676,11.054661464968152,5.077844203821656,4.4001890445859875,4.180016050955414,0.01787898089171975,0.058764331210191076,0.5134235477707007
27,-11634.872266288952,-42.176913976487256,18.819660623229463,22.11539745042493,19.454624645892352,2.8114707648725212,1.5839093484419267,3.064417705382436,10.12307492917847,11.301163512747873,14.101813484419264,4.176253512747875,1.5457462039660057,2.9571358923512747,0.0013342776203966009,0.09125495750708215,0.4572904532577904
28,-11663.184341013824,-43.53687499262673,17.297650875576036,20.77901179723502,17.896698248847926,2.8030193732718898,1.5865114930875575,3.0877902396313366,9.316082046082949,11.75851867281106,14.637049493087558,3.474301271889401,2.0284200368663594,3.4210184331797238,0.0012368663594470048,0.01027926267281106,0.4049735668202765
29,-11639.193244353184,-38.394359294168375,15.439045995893224,16.84564928131417,17.32624866529774,2.7901792607802873,1.5928343737166322,3.089141437371663,5.859851211498973,6.225093511293634,5.0832051334702255,5.2618858110882964,3.2706104722792606,4.482035954825462,0.00018275154004106779,0.001026694045174538,0.5023666858316223
30,-11680.528804627249,-43.44493848187661,17.139593573264783,17.409835732647817,17.719041773778923,2.8165754498714652,1.5822315038560413,3.085817030848329,4.665114473007712,7.210635089974295,7.381691285347044,3.9939661825192805,1.5665631105398454,3.0027907455012857,0.0006580976863753213,0.0009023136246786631,0.4689703444730077
31,-11651.39380952381,-34.88637371976912,18.92103665223665,17.310831313131313,19.871774603174604,2.78202772005772,1.5765334199134198,3.061465815295815,8.611001904761904,10.880676435786436,9.07393987012987,3.978642842712843,1.6788942857142857,3.1255627417027414,0.00011688311688311687,0.02973737373737374,0.4819604069264069
32,-11662.585363223612,-43.83602596594779,16.443738365493758,19.607475425652666,18.54749602724177,2.8390545005675367,1.5914800681044268,3.11811546538025,4.944689676503972,8.932218870601586,10.86435014755959,4.933700919409762,5.09368598183882,4.044565646992054,0.03240749148694666,0.08410158910329173,0.46864789727582307
33,-11652.682181528662,-38.700437472293,19.172218630573248,17.78556210191083,16.902207643312103,2.8074396019108283,1.5789039968152865,3.063082356687898,9.209560843949044,9.426150589171973,6.48834719745223,4.021734808917198,1.6242788694267514,3.0618131050955415,0.0011863057324840766,0.0009777070063694269,0.4750141464968152
34,-11528.04788888889,-10.384857598888889,26.35427444444444,25.82231777777778,27.298482222222223,2.811088666666667,1.5787221111111114,3.035148888888889,14.93705222222222,16.211605666666667,15.98647188888889,4.330120555555555,3.0467967777777782,4.857411444444446,0.0025222222222222226,0.01778888888888889,0.6842230444444444
35,-11672.660028763183,-38.94154383413231,21.48469606903164,22.541382166826462,19.761811697027806,2.7812293959731544,1.5776135666347075,3.0616903355704697,10.156389012464047,10.529935349952062,10.114129971236817,3.4247226941514857,4.87957828379674,3.4171189645254074,0.00024928092042186004,0.022130393096836055,0.4686203662511985
36,-11655.439187214612,-41.96226213789954,20.733120913242008,17.672703561643832,24.49249634703196,2.8139305479452053,1.5830340365296804,3.0673834063926946,9.52072603652968,13.549158520547946,12.950780831050228,4.28105902283105,2.8879659269406392,1.5557335342465755,0.0013634703196347033,0.0008639269406392694,0.5352126009132421
37,-11653.273650627614,-53.28702102031381,24.39229644351464,25.277948640167363,19.583294246861918,2.817296558577407,1.586272520920502,3.067588953974896,11.83513408995816,7.5390642154811705,7.163438441422595,4.905880230125524,3.891559550209204,3.958185774058576,0.006117154811715482,0.009014644351464434,0.4536970658995816
38,-11674.413330893118,-71.57482128330894,20.53497401171303,19.218931625183018,22.332079282576867,2.800754604685212,1.589988682284041,3.0797347144948755,11.27694406295754,11.94150864568082,9.504117928257688,4.033694956076134,1.5684027086383603,2.9921009736456807,0.0010900439238653004,0.0713528550512445,0.4276347137628111
39,-11605.963333333335,-33.42012325603866,21.85861352657005,19.610692753623187,23.489958454106286,2.783230531400967,1.5967038647342995,3.101510966183575,9.705235652173915,12.191388647342997,10.555052898550725,3.910381207729469,3.902730628019323,2.551479468599034,0.0005410628019323671,0.014821256038647345,0.5238945458937198
40,-11675.312460890495,-73.29325249518652,24.305339109506615,20.927465583634177,24.05016624548736,2.805164813477738,1.5825987906137184,3.0640806558363414,13.064769632972324,14.796612815884476,12.117626618531888,4.19091023465704,1.5476118832731647,3.0784114861612517,0.0012003610108303252,0.08408664259927796,0.4676224614921781
41,-11643.92056924384,-38.7285456855565,16.92285564995752,17.332356499575194,20.378980288870007,2.8201246559048427,1.583397689039932,3.0850696941376383,5.938566745964316,9.935769796091758,9.861835734919286,4.61165950722175,1.6626998130841122,3.353705140186916,0.007861512319456245,0.0013933729821580289,0.5087988198810536
42,-11645.983476953908,-45.931146565531066,20.664816533066134,18.70679529058116,20.488493286573146,2.8047360821643283,1.5815524649298598,3.075200771543086,11.026571022044088,11.196458016032064,7.863124909819638,4.117417344689378,3.4678287074148293,5.124397264529058,0.0010010020040080161,0.0011402805611222444,0.4423701543086172
43,-11664.035250790781,-42.729089553999096,19.6596215996385,20.70475924084953,22.697103117939452,2.8283278129236327,1.5876545910528694,3.085396972435608,10.142506818798012,14.935115291459557,13.996220582919115,5.084447523723452,1.5228599683687303,2.8602613601446003,0.00639855399909625,0.08262358788974243,0.39838010302756444
44,-11630.146707317075,-39.95562923170731,17.871693205574914,15.31925104529617,18.284294947735194,2.8230212369337977,1.6035059581881534,3.112214285714286,6.482928327526133,8.928495714285715,7.950171167247387,3.4016277351916377,1.5522796864111499,3.0425294076655054,0.001745644599303136,0.021019163763066204,0.4742727508710801
45,-11680.20183698297,-54.152252588807784,18.821982603406326,18.972045255474452,18.83864793187348,2.786519379562044,1.5790679075425793,3.1044764598540144,10.05707622871046,7.165383503649635,8.117755571776156,4.095430827250609,1.5418890510948906,2.9650736253041363,0.00023600973236009734,0.09311922141119221,0.42744277615571774
46,-11296.484736842105,-18.36214631578947,22.08377894736842,22.011684210526315,21.910015789473686,2.8330252631578943,1.577874736842105,2.9352357894736842,9.749006315789474,10.424128947368422,8.773171052631579,4.805463157894737,4.492832631578947,3.986887894736842,0.007631578947368421,0.04010526315789474,0.7232816315789473
