0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His_Glu,dist_His_Glu2,sasaSer,sasaSer133,sasaLig
1,-11518.217037037039,-9.652191079074074,21.69848703703704,21.821025925925923,21.61128148148148,2.826546851851852,1.578206851851852,3.0423074074074075,10.670792592592594,11.15327574074074,10.716058148148148,4.3765,2.1512003703703706,2.848345,0.010666666666666668,0.008814814814814817,0.6495327407407406
2,-11530.323478260869,-9.143522833478263,24.33581014492754,24.322402898550724,23.62138115942029,2.8217276811594196,1.5887846376811594,3.06082231884058,13.117999565217392,12.614354637681158,12.278808260869564,4.648063333333335,1.6471289855072464,2.397609130434782,0.012376811594202898,0.010420289855072465,0.6354536376811594
3,-11510.93366666667,-5.807877453333333,27.516750000000002,27.436721666666664,27.285394999999998,2.825994833333334,1.5856803333333331,3.049309666666667,16.966777666666665,16.9657665,16.597655,4.6252679999999975,2.2538586666666665,3.0322180000000003,0.010416666666666666,0.0011166666666666666,0.6963444
4,-11505.16262295082,-8.935262590163934,21.060596721311477,21.37650819672131,21.225960655737705,2.8257770491803287,1.5937929508196722,3.06275131147541,9.913640655737705,10.558962131147538,10.404224918032785,4.6803098360655735,2.3706385245901647,2.68642131147541,0.01275409836065574,0.0010163934426229509,0.6683876885245901
5,-11494.807272727274,-8.044112568181818,23.1163,23.48221818181818,22.240454545454547,2.8276643181818186,1.5807054545454546,3.0294388636363636,11.304310909090908,11.016552045454544,10.726665681818181,4.531172727272727,2.2793906818181813,1.9440538636363633,0.00731818181818182,0.056863636363636366,0.7235202272727272
6,-11499.027826086956,-28.34792061594203,20.008940579710142,20.553210144927533,17.356901449275362,2.8196642028985512,1.5764514492753625,3.032858115942029,9.542868405797101,8.538344057971015,6.8070997101449295,3.698096231884058,1.691995797101449,2.803619855072464,0.0043623188405797104,0.002405797101449275,0.579232188405797
7,-11433.278064516131,-16.87205762903226,21.28573225806452,21.329054838709684,21.044522580645165,2.8291277419354843,1.5795145161290325,2.9864977419354837,9.518683225806452,10.28480451612903,9.614085806451614,4.7195893548387104,1.6572029032258067,2.5862148387096773,0.010354838709677421,0.026903225806451617,0.6692026129032259
8,-11417.718571428572,-4.346269321428571,24.985775,24.33280357142857,26.323689285714284,2.835218928571429,1.5795032142857142,2.9693682142857143,13.672301785714284,15.312447142857144,14.579422142857142,4.368064642857142,3.0087924999999998,2.503997857142857,0.017464285714285717,0.009142857142857144,0.7584725
9,-11529.198840579707,-6.059984836231884,24.534949275362322,24.133117391304346,24.73691014492754,2.8184117391304344,1.5813753623188405,3.071682608695652,14.333439710144928,14.767474057971015,14.379188985507247,4.417338550724637,2.421942608695653,1.8344555072463766,0.005492753623188406,0.001565217391304348,0.6652586231884058
10,-11535.457777777783,-27.27334252962962,20.222518518518513,18.708479629629636,22.600016666666676,2.8274207407407403,1.5831420370370373,3.0657016666666665,9.38918351851852,11.612610925925923,9.882623888888888,4.452675925925924,1.818840555555556,2.6022038888888894,0.008074074074074076,0.005240740740740741,0.6085516666666666
