#Task    Step    numberOfAcceptedPeleSteps    currentEnergy    bindingE1    dist_1    dist_2    dist_3    sasaLig1    
1    288    82    -19727.2    -9.93682    28.1406    26.8491    26.4733    0.592176    
1    289    83    -19726.7    -17.1861    26.726    28.034    25.8698    0.560813    
1    306    84    -19725.9    -14.0663    25.7485    27.1665    29.1543    0.598079    
1    309    85    -19726.4    -14.2912    26.7922    25.8455    30.1618    0.577357    
1    313    86    -19725.3    -16.3797    26.0519    27.3423    27.5497    0.529308    
1    319    87    -19724.5    -15.841    28.1352    25.5496    26.9013    0.595084    
1    322    88    -19724.4    -9.92278    25.8898    26.8582    28.3507    0.537196    
1    325    89    -19725.6    -15.9094    27.5575    28.1723    25.807    0.572658    
1    327    90    -19727.2    -14.8502    26.2364    25.4968    29.8689    0.583769    
1    328    91    -19723.5    -10.9028    26.9631    27.1902    27.1844    0.632628    
1    333    92    -19732.5    -22.4252    25.2636    25.7416    26.8877    0.469313    
1    385    93    -19732.5    -24.216    25.8032    26.3148    26.2883    0.56354    
1    457    94    -19720.3    -17.4463    25.433    27.8736    25.4629    0.511763    
1    459    95    -19722.6    -14.9646    27.6997    26.2627    26.4596    0.621235    
1    461    96    -19726.7    -20.1264    27.1171    24.8011    29.5835    0.584736    
1    462    97    -19725.6    -18.1735    25.5562    27.0951    27.0305    0.547969    
1    464    98    -19726.5    -19.9242    26.6185    24.5605    28.857    0.567063    
1    467    99    -19726.1    -12.752    26.9769    28.3845    26.7598    0.614365    
1    468    100    -19726.5    -9.64061    26.7744    30.5036    26.2337    0.638183    
1    469    101    -19731.1    -17.4791    29.6557    28.507    26.328    0.672961    
1    473    102    -19740.8    -23.0348    28.3141    25.4118    26.8251    0.476855    
1    625    103    -19736.7    -15.6666    26.4585    25.3325    29.3431    0.521289    
1    631    104    -19739.4    -17.5596    27.0553    27.0341    29.1783    0.548223    
1    665    105    -19737.6    -16.0531    28.4031    26.6487    25.4584    0.561828    
1    667    106    -19741.7    -19.4002    25.6864    26.8702    26.5366    0.442933    
1    707    107    -19739.4    -18.7382    25.8762    28.9724    27.0738    0.517528    
1    749    108    -19737.9    -19.1842    27.2136    28.9415    27.4706    0.575463    
1    753    109    -19735.4    -12.0719    28.3324    30.7097    27.0428    0.645701    
1    759    110    -19739.1    -19.2862    30.1691    27.6271    25.8396    0.586721    
1    788    111    -19732.8    -13.0491    28.995    27.7751    26.9055    0.61869    
1    789    112    -19734.9    -16.1059    30.1344    26.2453    25.6305    0.565058    
1    792    113    -19732.4    -8.91101    28.7457    27.6809    25.9957    0.654042    
1    793    114    -19732.4    -9.20093    30.3104    25.6945    28.7833    0.658957    
1    794    115    -19735.1    -7.99256    26.2819    30.5635    26.1454    0.699661    
1    795    116    -19735.9    -11.9006    29.7037    26.3651    26.9743    0.596281    
1    796    117    -19737.1    -9.808    28.9761    26.6215    28.2522    0.585655    
1    798    118    -19740.5    -15.1679    26.3304    28.9069    25.3187    0.618523    
1    803    119    -19743.8    -20.9644    25.7073    25.632    26.0544    0.507137    
1    811    120    -19740.8    -14.381    28.8004    26.1631    25.184    0.581018    
1    813    121    -19734.6    -8.53043    25.9277    27.4274    29.6964    0.633453    
1    814    122    -19735.4    -10.6684    28.2077    27.0109    26.629    0.615944    
1    816    123    -19735.2    -10.2576    26.1949    28.7573    29.396    0.622069    
1    819    124    -19736.4    -13.7781    29.6268    27.7565    25.3131    0.624353    
1    820    125    -19735.5    -11.565    28.3049    30.0506    25.4901    0.591117    
1    826    126    -19733.7    -10.4213    26.8274    26.1402    28.9425    0.568437    
1    827    127    -19735.5    -11.8744    27.0395    26.058    30.9686    0.580557    
1    828    128    -19738.1    -10.0008    28.1384    27.3514    27.8475    0.619505    
1    830    129    -19742.6    -13.8734    29.0867    26.3028    26.3783    0.582617    
1    836    130    -19744.4    -17.1488    27.9425    28.2806    25.2171    0.572101    
1    839    131    -19740.4    -16.407    27.3568    25.8238    29.2071    0.552877    
1    846    132    -19734.6    -9.7401    27.336    27.8904    25.2467    0.559139    
1    847    133    -19740.9    -11.3224    25.4718    26.755    27.4344    0.546352    
1    856    134    -19737.1    -8.25935    26.5561    27.027    28.9565    0.633401    
1    861    135    -19739    -15.8095    26.8102    28.1019    24.9981    0.556483    
1    863    136    -19743.6    -22.7966    25.7193    24.9901    24.9993    0.449104    
1    891    137    -19741.9    -22.7034    24.8971    27.1585    25.7817    0.452652    
1    913    138    -19739.9    -18.2506    25.5024    27.7588    26.5457    0.525748    
1    916    139    -19738.1    -14.0843    25.3909    29.3244    24.993    0.563603    
1    918    140    -19738.8    -12.9953    27.1634    26.3865    25.7457    0.571079    
1    927    141    -19735.7    -13.3541    29.3878    25.5776    28.9786    0.680431    
1    933    142    -19736.4    -15.9808    30.2394    29.8402    27.7118    0.731896    
1    939    143    -19736.9    -14.6803    31.3471    26.7686    30.8456    0.719418    
1    956    144    -19734.2    -10.911    30.3383    29.3968    26.3309    0.680391    
1    958    145    -19734    -9.43589    29.6004    27.7589    28.2779    0.656708    
1    959    146    -19739    -17.7118    29.484    27.4903    29.3367    0.626009    
1    969    147    -19738.8    -21.8392    27.4002    29.6736    29.391    0.647759    
1    1005    148    -19739.4    -19.1588    30.5676    28.2917    27.173    0.610549    
1    1015    149    -19736.6    -11.7754    30.992    27.9818    30.857    0.70455    
1    1016    150    -19738    -10.6681    31.6578    30.3597    29.2781    0.773429    
1    1023    151    -19741.8    -14.6182    29.6294    29.2064    29.8232    0.688255    
1    1031    152    -19737    -13.8758    28.8378    29.3918    30.9627    0.688072    
1    1039    153    -19736.8    -12.5687    30.2492    28.5682    31.6982    0.68623    
1    1041    154    -19735.5    -7.9936    32.142    30.0978    26.8583    0.693655    
1    1044    155    -19738.5    -10.0584    26.5738    30.2432    31.0809    0.692992    
1    1045    156    -19744    -11.333    29.8894    26.057    31.181    0.660596    
1    1046    157    -19745.3    -12.1329    27.7248    26.1472    28.9389    0.548429    
1    1051    158    -19743.6    -15.868    28.4366    27.3033    25.4839    0.552337    
1    1088    159    -19741.9    -12.049    25.7038    30.0001    28.4928    0.612859    
1    1094    160    -19744.1    -13.647    26.831    28.1842    27.9983    0.590738    
1    1095    161    -19742.4    -12.9096    28.9649    25.3808    27.6864    0.588851    
1    1101    162    -19745.3    -13.5095    26.3849    29.7896    27.6893    0.566652    
1    1102    163    -19745.7    -13.759    27.8263    26.7036    28.1893    0.601784    
1    1117    164    -19742.7    -12.8202    27.0202    27.566    26.0876    0.587684    
1    1118    165    -19741.3    -10.7492    28.3036    26.2053    27.5462    0.612573    
1    1120    166    -19744.4    -13.5185    26.0021    27.8077    26.2124    0.555199    
1    1125    167    -19742.6    -18.3738    27.0756    26.1828    26.8134    0.515969    
1    1127    168    -19741.6    -15.9643    27.595    26.5111    26.3811    0.607585    
1    1150    169    -19741.5    -13.3668    25.8297    26.0455    29.0895    0.617403    
1    1151    170    -19735.6    -10.1401    27.9009    27.562    26.2698    0.630365    
1    1154    171    -19738    -11.1024    29.344    26.0171    26.8243    0.635253    
1    1157    172    -19733.3    -9.14659    27.3526    28.7385    27.6831    0.593295    
1    1158    173    -19740.9    -15.3356    26.6059    26.3988    28.4253    0.603235    
1    1159    174    -19744.4    -17.3496    25.7553    26.108    25.8246    0.504208    
1    1186    175    -19743.2    -14.6488    28.6011    26.2693    25.8162    0.577714    
1    1187    176    -19743.1    -13.5215    28.3686    26.0097    29.7156    0.594391    
