#Task    Step    numberOfAcceptedPeleSteps    currentEnergy    bindingE1    dist_1    dist_2    dist_3    sasaLig1    
1    283    82    -19598.5    -11.9815    37.1109    40.0914    35.1476    0.633911    
1    284    83    -19600.5    -11.4982    38.6038    35.1579    39.3547    0.611931    
1    288    84    -19603.6    -14.9014    36.6383    39.495    36.7272    0.601093    
1    328    85    -19601.6    -14.3694    39.2215    36.4444    38.0502    0.613928    
1    342    86    -19600.1    -13.0154    36.2004    38.0972    36.8728    0.565513    
1    385    87    -19597.2    -12.9412    38.1508    35.6887    33.8872    0.589089    
1    387    88    -19596    -14.6187    34.3851    34.1825    37.7851    0.530004    
1    400    89    -19596.1    -10.5588    34.7785    38.1299    34.2982    0.602802    
1    402    90    -19596    -7.16685    36.5721    34.0936    35.5341    0.685477    
1    414    91    -19595.8    -6.6791    35.5354    38.0738    32.5948    0.694513    
1    416    92    -19597.4    -7.44475    34.5006    37.7949    36.2226    0.690272    
1    418    93    -19601.9    -9.69024    34.6666    38.6791    33.4957    0.667389    
1    422    94    -19601.2    -6.96325    33.883    37.6336    34.2002    0.634472    
1    423    95    -19603.5    -8.98706    34.6724    37.6156    32.6986    0.639434    
1    424    96    -19601.9    -6.25015    34.7789    35.8665    34.6738    0.629461    
1    426    97    -19609    -11.8712    36.8388    35.9666    34.1924    0.613796    
1    434    98    -19606.6    -10.2739    34.7567    34.3842    36.0156    0.582348    
1    436    99    -19607.2    -13.2901    36.5096    33.0126    36.3493    0.58599    
1    438    100    -19609.1    -15.708    36.2229    34.9674    33.6452    0.557675    
1    446    101    -19607.4    -13.7899    35.242    33.7899    35.3347    0.586682    
1    447    102    -19606    -12.4295    35.8925    32.9753    34.0833    0.642036    
1    451    103    -19602.3    -16.9702    33.6624    32.7235    36.6079    0.560438    
1    457    104    -19610.8    -18.7493    33.6479    33.0369    34.0266    0.510596    
1    487    105    -19610.6    -16.5769    33.9989    34.0453    33.2815    0.510494    
1    551    106    -19607.6    -18.7454    33.8579    33.6346    32.7018    0.478379    
1    554    107    -19607.9    -16.0648    33.3823    34.6139    34.194    0.537417    
1    559    108    -19608.9    -16.6146    36.875    33.6187    33.2973    0.512913    
1    560    109    -19610.5    -17.4978    34.8084    35.361    33.4224    0.54004    
1    564    110    -19612.9    -19.0276    34.3826    33.8789    38.1006    0.554724    
1    577    111    -19614.1    -22.0697    33.876    35.0711    32.8616    0.556648    
1    613    112    -19611    -16.2448    34.2967    33.309    36.2796    0.526202    
1    617    113    -19615.2    -22.9486    33.691    35.1364    33.09    0.533949    
1    635    114    -19614.8    -20.2911    33.542    36.7021    33.662    0.507497    
1    676    115    -19614.2    -23.0824    35.5885    34.5371    32.3164    0.524107    
1    685    116    -19608.9    -16.8157    35.3116    37.2111    33.3556    0.569957    
1    688    117    -19614    -19.6523    34.7218    33.6755    38.1755    0.604198    
1    723    118    -19613    -22.2646    35.6887    33.4222    37.638    0.57339    
1    725    119    -19616    -23.6051    35.6855    32.5586    37.1711    0.561229    
1    728    120    -19612.8    -20.4536    36.398    37.5844    33.2971    0.581111    
1    738    121    -19618.1    -22.152    34.8702    33.8676    37.7509    0.555076    
1    748    122    -19618.4    -21.6313    36.9612    36.0376    33.2366    0.590151    
1    755    123    -19620.6    -22.6667    35.6112    33.51    37.4698    0.583442    
